西游记之大圣归来,流浪地球,白蛇：缘起,复仇者联盟4：终局之战,我不是药神,战狼2,唐人街探案2,爱情公寓,新喜剧之王
1801.37,20196.36,1123.75,72587.87,22515.13,10215.22,34078.29,30348.8,27289.1
2853.64,25875.8,1424.39,31625.01,24132.3,21471.67,32625.18,12824.24,10774.79
4016.08,34043,1575.19,42437.78,38569.72,31262,32344.12,5943,6639.86
3956.43,38465.28,957.17,55207.14,38595.22,36713.43,31859.73,2159.93,3776.6
5768.9,41708.21,1129.41,20888.44,20707.18,27310.1,30230.4,1362.31,2786.32
6587.9,41735.79,1345.5,12484.56,17656.95,29283.66,29906.01,1079.91,2148.18
4898.47,34131.77,1513.7,25581.97,14771.32,27924,23585.38,927.77,1590.81
3665.64,25849.34,1402,50194.94,13143.97,22834.16,18415.66,306.8,1107.62
6223.72,21566.69,2831.55,34037.03,12504.72,26616.39,17042.15,127.82,971.07
6168.61,35264.42,2867.73,24199.36,18179.29,40572.75,15299.39,119.3,819.52
3072.97,18184.22,1664.26,13692.92,16137.02,42647.3,8612.56,74.47,573.03
2848.94,23319.89,1656.74,5143.09,7551.61,24324.65,7097.81,65.82,680.2
2518.86,19225.05,1662.47,3405.99,6427.84,22885.98,6218.37,59.22,637.53
2210.92,9980.31,1640,2868.79,5887.28,19651.81,5558.24,51.46,454.46
2098.91,11245.4,1628.12,2422.47,5153.64,16467.91,7140.11,6.52,520.28
3802.86,6554.49,2561.49,2078.78,4776.92,15080.46,7951.82,17,374.57
3888.41,5443.8,2569.88,2829.09,6963.58,21748.11,5793.56,16.86,340.41
1702.11,6084.75,1790.05,5588.3,6672.61,20158.13,2414.17,9.39,102.94
1665.23,9832.9,1840.51,3996.05,3097.92,9978.98,2111.21,8.83,144.03
1501.39,7502.38,1846.12,1239.66,2780.13,8654.02,1921.96,8.38,128.19
958.17,2490.61,1954.57,1093.34,2517.99,7538.7,3359.78,7.89,79.65
972.64,2216.32,2053.94,991.77,2290.03,6032.54,1604.47,5.72,82.46
2003.6,2072.11,2069.78,915,810.53,6307.18,2772.69,2.88,82.69
2121.46,1903.22,1839.56,1141.64,1211.77,9131.08,2112.3,2.07,80.78
965.35,2157.47,822.26,2373.47,1280.37,8901.66,831.2,1.76,26.62
1013.56,4062.06,3.84,1959.55,728.76,4503.92,772.6,1.06,44.59
971.2,2970.51,14.72,1227.65,690.75,3923.37,761.51,1,33.57
774.82,928.75,32.11,641.17,646.43,3562.75,685.9,1,19.97
692.81,855,48.88,540.97,590.02,3227.82,508.68,1.14,20.25
1284.54,802.69,58.5,612.57,258.83,2612.57,1047.97,,30.13
1495.26,723.61,57.51,2.29,513.65,4016.18,946.01,,17.87
678.15,1120.17,55.83,,561.24,4289.74,392.49,,13.63
731.72,1207.66,45.98,,313.95,5791.55,340.89,,11.54
693.6,979.12,42.22,,300.29,2209.66,339.96,,8.92
419.21,329.45,107.71,,303.34,1894.19,339.97,,5.45
457.19,321.22,41.13,,287.51,1576.93,312,,4.95
872.53,320.72,70.46,,24.24,1340.29,602.84,,4.88
915.57,276.41,68.07,,46.27,2390.73,527.84,,3.55
427.55,252.84,13.1,,57.29,2012.13,166.73,,1.45
431.93,552.99,12.69,,35.49,853.1,203.28,,1.09
415.31,466.7,10.18,,36.58,780.09,157.83,,
673.66,164.06,9.67,,40.64,752.08,116,,
375.57,153.67,3.82,,43.69,685.87,39.17,,
704.34,140.67,8.14,,24.58,566.12,95.41,,
442.95,141.1,7.24,,27.17,1016.25,93.8,,
194.5,82.29,3.03,,29.69,921.72,34.47,,
189.39,222,3.15,,17.5,404.18,35.35,,
179.58,199.35,2.96,,16.1,385.45,19.89,,
107.32,63.76,2.94,,17.61,364.62,73.97,,
114.14,65.1,1.15,,18.09,362.44,75.72,,
249.6,60.9,2.51,,6.7,168.24,49,,
253.49,52.77,2.16,,14.06,320.91,24.3,,
97.6,33.27,1.01,,13.88,288.41,17.35,,
52.65,95.58,1.14,,10.85,150.36,18.39,,
38.83,91.79,4.93,,12.86,155.47,18.29,,
115.93,37.12,5.57,,14.19,159.39,18.32,,
126.39,35.05,3.79,,10.81,150.03,5.21,,
123.28,32.91,9.62,,6.34,114.72,15.81,,
30.01,26.21,10.4,,10.5,240.1,16.73,,
18.72,51.77,6.9,,13.6,228.53,6.56,,
5.94,64.51,6.78,,7.97,117.93,5.24,,
7.38,42.02,7.76,,7.55,123.3,,,
1.09,13.79,4.54,,5.35,122.11,,,
,11.7,3.25,,4.98,121.68,,,
,13.55,6.82,,4.5,51.39,,,
,11.16,8.5,,1.83,14.54,,,
,10.01,6,,2.13,68.56,,,
,32.05,5.35,,2.12,123.23,,,
,35.09,4.54,,2.07,164.06,,,
,13.07,4.79,,2.57,194.62,,,
,12.19,3.65,,1.38,155.55,,,
,13.25,5.43,,2.54,148.99,,,
,14.19,6.12,,2.72,141.1,,,
,15.59,8.9,,1.42,104.41,,,
,40.17,9.21,,1.89,30.94,,,
,42.24,10.08,,2.25,32.31,,,
,15.45,10.25,,1.75,30.86,,,
,13.83,,,1.48,28.28,,,
,2.07,,,2.62,15.55,,,
,1.49,,,3.06,34.54,,,
,2.98,,,1.2,39.67,,,
,3.29,,,1.35,19.87,,,
,2.85,,,1.04,18.09,,,
,2.49,,,1.77,19.88,,,
,2.31,,,3.15,19.6,,,
,7.78,,,1.06,11.95,,,
,9.01,,,1.57,25.01,,,
,9.61,,,1.21,25.13,,,
,6.34,,,1.32,12.79,,,
,5.64,,,1.52,13.32,,,
,,,,1.4,13.62,,,
,,,,,14.16,,,
,,,,,9.03,,,
,,,,,18.2,,,
,,,,,1.37,,,
,,,,,1.12,,,
,,,,,2.16,,,
,,,,,1.05,,,
,,,,,1.23,,,
,,,,,1.83,,,
,,,,,1.09,,,
,,,,,1.05,,,
,,,,,1.08,,,
,,,,,1.53,,,
,,,,,1.36,,,
,,,,,1.32,,,
,,,,,1.63,,,
,,,,,1.87,,,
,,,,,1.01,,,
,,,,,1.22,,,
,,,,,1.84,,,
,,,,,1.99,,,
